"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Krabbe, L.; Haberberger, N.; Stelzig, M.; Pfluger, F.; Braun, M.; Vossiek, M.","Krabbe, Lena (57966301200); Haberberger, Niklas (57479757800); Stelzig, Michael (57406447700); Pfluger, Felix (59485965900); Braun, Matthias H. (55482393700); Vossiek, Martin (6602116263)","57966301200; 57479757800; 57406447700; 59485965900; 55482393700; 6602116263","Design and Verification of a Versatile and Lightweight Radar Platform for High-Resolution Imaging of Glacial Subsurface Structures","2024","IEEE Journal of Microwaves","4","4","","871","880","2","10.1109/JMW.2024.3445997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213027010&doi=10.1109%2FJMW.2024.3445997&partnerID=40&md5=6ecf814b6888092a7886d564b3d699a1","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85213027010"
"Huang, J.; Chao, W.; Deng, C.; Dai, L.; Wang, J.","Huang, Junwei (57222549454); Chao, Wujie (55181638200); Deng, Chaoping (57191840377); Dai, Liyu (57201989160); Wang, Jinke (59003722900)","57222549454; 55181638200; 57191840377; 57201989160; 59003722900","Design and Verification of a DC Direct-mounted Energy Storage Topology","2024","IEEE Information Technology, Networking, Electronic and Automation Control Conference, ITNEC","","2024","","668","672","0","10.1109/ITNEC60942.2024.10733313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212586396&doi=10.1109%2FITNEC60942.2024.10733313&partnerID=40&md5=8b8a493e0b40b196de2b1c630b6fe878","Conference paper","Final","","Scopus","2-s2.0-85212586396"
"Bhattacharjee, P.; Jung, P.","Bhattacharjee, Protim (57225399442); Jung, Peter (56517675200)","57225399442; 56517675200","Compressed learning-based onboard semantic compression for remote sensing platforms","2024","Proceedings of SPIE - The International Society for Optical Engineering","13196","","1319608","","","0","10.1117/12.3031472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212392502&doi=10.1117%2F12.3031472&partnerID=40&md5=e735ac8610a473e558a6b6a6f6e1ced1","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85212392502"
"Germani, P.; Manzari, M.A.; Magni, R.; Dibitonto, P.; Previtali, F.; D'Agostini, E.","Germani, Patrizio (59477820900); Manzari, Michelangelo Amoruso (59478260500); Magni, R. (24512172800); Dibitonto, Paolo (59478155100); Previtali, Fabio (60353605900); D'Agostini, Emanuele (59477597200)","59477820900; 59478260500; 24512172800; 59478155100; 60353605900; 59477597200","Building Trustworthy AI Systems: AI Inference Verification with Blockchain and Zero-Knowledge Proofs","2024","2024 6th Conference on Blockchain Research and Applications for Innovative Networks and Services, BRAINS 2024","","","","","","2","10.1109/BRAINS63024.2024.10732140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212391210&doi=10.1109%2FBRAINS63024.2024.10732140&partnerID=40&md5=09acc4582e6bb6425d767184ef0635fe","Conference paper","Final","","Scopus","2-s2.0-85212391210"
"Saritas, H.B.; Kardas, G.","Saritas, Hidayet Burak (56048644200); Kardas, Geylani (8876828200)","56048644200; 8876828200","A Blockchain-based Transaction Verification Infrastructure in Public Transportation","2024","Annals of Computer Science and Intelligence Systems","","2024","","169","176","2","10.15439/2024F5274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212305357&doi=10.15439%2F2024F5274&partnerID=40&md5=ad8fd47c22903a1dc12c700f0b37a620","Conference paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85212305357"
"Fu, G.; Wang, X.; Cai, S.; Ding, Y.; Zhao, H.","Fu, Guobin (57222746994); Wang, Xuebin (56380671500); Cai, Shengliang (57215352085); Ding, Yujie (57211760215); Zhao, Huanbei (58366178400)","57222746994; 56380671500; 57215352085; 57211760215; 58366178400","Research on Structured Electromagnetic Modeling and Model Accuracy Verification for Electrochemical Energy Storage","2024","China International Conference on Electricity Distribution, CICED","","","","1044","1051","0","10.1109/CICED63421.2024.10754350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212037765&doi=10.1109%2FCICED63421.2024.10754350&partnerID=40&md5=d005104df6700b9e3f000b376b924f15","Conference paper","Final","","Scopus","2-s2.0-85212037765"
"Barrias, K.","Barrias, Karla (59471220700)","59471220700","Social and collaborative platform to automate the data management and analysis process in animal protection foundatios; Plataforma social y colaborativa para automatizar el proceso de gestión y analítica de datos en fundaciones de protección animal.","2024","7th International Congress on Ambient Intelligence, Software Engineering, and e-Health and Mobile Health, AmITIC 2024","","","","","","0","10.1109/AmITIC62658.2024.10747647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211935923&doi=10.1109%2FAmITIC62658.2024.10747647&partnerID=40&md5=d724d88b5b871a6d307ad534a1a8d12e","Conference paper","Final","","Scopus","2-s2.0-85211935923"
"Wang, H.","Wang, Haifeng (56081928900)","56081928900","Cloud-Based Flight Test Data Management and Application Platform","2024","2024 3rd International Conference on Artificial Intelligence, Internet of Things and Cloud Computing Technology, AIoTC 2024","","","","102","107","0","10.1109/AIoTC63215.2024.10748254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211789144&doi=10.1109%2FAIoTC63215.2024.10748254&partnerID=40&md5=96ee23d5c48e6e2bc46242cb7a8b6c3b","Conference paper","Final","","Scopus","2-s2.0-85211789144"
"Giaya, D.; Preston, V.; Kaveti, P.; Gupta, A.; Levoy, J.; Fornari, D.J.; Singh, H.","Giaya, Dennis (57206658561); Preston, Victoria (57217707155); Kaveti, Pushyami (56518183800); Gupta, Aniket (58265417100); Levoy, Jasen (59467005800); Fornari, Daniel J. (7003811602); Singh, Hanumant (7404462713)","57206658561; 57217707155; 56518183800; 58265417100; 59467005800; 7003811602; 7404462713","Calibration of Camera and Lighting Systems on Marine Robotic Platforms for Scientific Data Collection","2024","Journal of Ocean Technology","19","3","","122","125","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211633428&partnerID=40&md5=8eed5c5b06dc98642be214a0c3dec953","Article","Final","","Scopus","2-s2.0-85211633428"
"Shelke, P.M.; Bhagat, S.; Nagdive, S.; Shewale, C.; Bhimanpallewar, R.; Kadam, S.","Shelke, Priya M. (57191279436); Bhagat, Shubham (59466221500); Nagdive, Saket (59466636400); Shewale, Chaitali R. (57962725500); Bhimanpallewar, Ratnmala Nivrutti (57201258639); Kadam, Sandip (59466636500)","57191279436; 59466221500; 59466636400; 57962725500; 57201258639; 59466636500","Blockchain-Based Trademark Verification System","2024","INDISCON 2024 - 5th IEEE India Council International Subsections Conference: Science, Technology and Society","","","","","","0","10.1109/INDISCON62179.2024.10744365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211609620&doi=10.1109%2FINDISCON62179.2024.10744365&partnerID=40&md5=f2f09d5b4c64b038a7e7b15e1f2bd000","Conference paper","Final","","Scopus","2-s2.0-85211609620"
"de Maria, A.; Bodin, M.; Gaonach, M.; Gaisné, G.; Svensson, O.; Bocciarelli, A.; Götz, A.","de Maria, Alejandro (57211807041); Bodin, Marjolaine (56955440500); Gaonach, Maël (59465681700); Gaisné, Guillaume (60094987700); Svensson, Olof S. (7006824844); Bocciarelli, Axel (59464718800); Götz, Andrew (24289023300)","57211807041; 56955440500; 59465681700; 60094987700; 7006824844; 59464718800; 24289023300","DRAC–Data Repository for Advancing Open sCience","2024","Synchrotron Radiation News","37","6","","35","42","0","10.1080/08940886.2024.2432816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211501387&doi=10.1080%2F08940886.2024.2432816&partnerID=40&md5=78a0ff5756c692e9acd90b7a610bc13d","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85211501387"
"Hou, M.","Hou, Mingming (59464315800)","59464315800","Research on the Construction of Statistical Data Management Platform under Big Data","2024","Procedia Computer Science","243","","","775","784","0","10.1016/j.procs.2024.09.093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211366503&doi=10.1016%2Fj.procs.2024.09.093&partnerID=40&md5=29a834f57243f5647c750241cafc7422","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85211366503"
"Kordalis, A.; Tsiachris, D.; Antoniou, C.-K.; Doundoulakis, I.; Tsioufis, K.","Kordalis, Athanasios A. (36007221100); Tsiachris, D. L. (23971805400); Antoniou, Christos Konstantinos (50760938300); Doundoulakis, Ioannis (57192119339); Tsioufis, Konstantinos P. (55355673900)","36007221100; 23971805400; 50760938300; 57192119339; 55355673900","Verification of persistent pulmonary vein isolation with electroanatomical mapping 3 months after ablation using a novel PFA platform","2024","Hellenic Journal of Cardiology","","","","","","0","10.1016/j.hjc.2024.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211188333&doi=10.1016%2Fj.hjc.2024.11.002&partnerID=40&md5=308b4688891602083b8cfceb526af0fb","Article","aip","All Open Access; Gold Open Access","Scopus","2-s2.0-85211188333"
"Kumawat, N.; Naik, D.","Kumawat, Neeraj (59458940900); Naik, Dinesh (57540138500)","59458940900; 57540138500","Utilizing NFTs to Revolutionize Document Verification and Authentication through Blockchain: Redefining Trust in the Digital Era","2024","2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024","","","","","","0","10.1109/ICCCNT61001.2024.10724719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211129609&doi=10.1109%2FICCCNT61001.2024.10724719&partnerID=40&md5=c2a38288906f0231c8f20d5cc972496b","Conference paper","Final","","Scopus","2-s2.0-85211129609"
"Mohanty, J.P.; Mohanty, R.P.","Mohanty, Jaganath Prasad (56045462700); Mohanty, Ram Prasad (57211252792)","56045462700; 57211252792","Revolutionizing Genomic Data Management in the Cloud- Novel Approaches for Secure Transfer and Storage of Sequencing VCF Data in the Realm of AI and Cybersecurity - A Perspective","2024","2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024","","","","","","0","10.1109/ICCCNT61001.2024.10724857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211083886&doi=10.1109%2FICCCNT61001.2024.10724857&partnerID=40&md5=d6bc325c58d038ad1c48c50fb1b96a7f","Conference paper","Final","","Scopus","2-s2.0-85211083886"
"Gaurav, A.; Bansal, S.; Chui, K.T.; Alhomoud, A.; Arya, V.; Psannis, K.; Attar, R.W.","Gaurav, Akshat (57195480314); Bansal, Shavi (59332485000); Chui, Kwok Tai (55975707100); Alhomoud, Ahmed (57285999000); Arya, Varsha (57863028200); Psannis, Kostas E. (14061014300); Attar, Razaz Waheeb (57214759411)","57195480314; 59332485000; 55975707100; 57285999000; 57863028200; 14061014300; 57214759411","Optimized AI-Driven Semantic Web Approach for Enhancing Phishing Detection in E-Commerce Platforms","2024","International Journal on Semantic Web and Information Systems","20","1","","","","29","10.4018/IJSWIS.359767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210771614&doi=10.4018%2FIJSWIS.359767&partnerID=40&md5=1c362c088a23042ac3bdeac0096a3576","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210771614"
"Zhou, L.","Zhou, Liang (59445799200)","59445799200","Trustworthy digital twinning data platform for power infrastructure construction projects using blockchain and semantic web","2024","Frontiers in Built Environment","10","","1440513","","","2","10.3389/fbuil.2024.1440513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210507415&doi=10.3389%2Ffbuil.2024.1440513&partnerID=40&md5=62afbdc4184bf25126f97a16958f4fe6","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85210507415"
"Cadden, A.; Rocca, A.; Hudyma, N.; Hinson, J.; Rocca, L.","Cadden, Allen W. (6602830618); Rocca, Alfredo (55258345600); Hudyma, Nick W. (57203897534); Hinson, Joe (59125595400); Rocca, Luciano (59126440700)","6602830618; 55258345600; 57203897534; 59125595400; 59126440700","Remote Sensing for Ground Improvement Performance Verification—Hydrocarbon Storage Tanks Constructed on Deep Soil Mix Columns","2024","Geotechnical Special Publication","2024-November","GSP 361","","502","514","0","10.1061/9780784485842.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210249723&doi=10.1061%2F9780784485842.048&partnerID=40&md5=43995d470ce11544dd338b5aefe45096","Conference paper","Final","","Scopus","2-s2.0-85210249723"
"Chau, T.K.; Jaquet, D.; Kenderdine, S.","Chau, Tsz Kin (59423464200); Jaquet, Daniel (57189842439); Kenderdine, Sarah (22834975700)","59423464200; 57189842439; 22834975700","Towards an Annotation Data Model for a Scholarly Semantic Annotation Platform in Visual Heritage: A Case Study Using the Murten Panorama","2024","CEUR Workshop Proceedings","3809","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210236618&partnerID=40&md5=8c19b32c4da095b0030baa84efdb9054","Conference paper","Final","","Scopus","2-s2.0-85210236618"
"Fernando, C.A.; Thomas, R.; Mary Anita, E.A.; Lapin, V.","Fernando, Cheryl Andrea (59326370000); Thomas, Rhea (59326011700); Mary Anita, E. A. (44861063700); Lapin, Vitalii G. (57218555728)","59326370000; 59326011700; 44861063700; 57218555728","Digital Forensics Chain of Custody Using Blockchain","2024","Lecture Notes in Networks and Systems","1207 LNNS","","","63","73","0","10.1007/978-3-031-77229-0_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210170538&doi=10.1007%2F978-3-031-77229-0_7&partnerID=40&md5=b1f44f0ef627191110cc174af8467370","Conference paper","Final","","Scopus","2-s2.0-85210170538"
"Eells, L.; Kelly, J.; Farrell, S.","Eells, Linda L. (16635684700); Kelly, Julia Ann (55301003300); Farrell, Shannon L. (7102735596)","16635684700; 55301003300; 7102735596","Repository (R)evolution: Metadata, Interoperability, and Sustainability","2024","Journal of Librarianship and Scholarly Communication","12","1","eP16890","","","1","10.31274/jlsc.16890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210151148&doi=10.31274%2Fjlsc.16890&partnerID=40&md5=52d3fd01ef4fc69888aeb312ac2b6f79","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210151148"
"Balekar, S.; More, S.; Lambate, P.; Nayi, J.; Ganjapurkar, M.; Deshpande, K.","Balekar, Sakshi (59419982800); More, Sarthak (59420288700); Lambate, Prathamesh (59420739300); Nayi, Jaykumar (59420134400); Ganjapurkar, Mandar (57222721625); Deshpande, Kiran B. (57442443200)","59419982800; 59420288700; 59420739300; 59420134400; 57222721625; 57442443200","Comprehensive Certificate Validation and Verification System for Educational Institutes Using Blockchain","2024","Lecture Notes in Networks and Systems","1109 LNNS","","","67","77","0","10.1007/978-981-97-6675-8_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209951763&doi=10.1007%2F978-981-97-6675-8_6&partnerID=40&md5=a367e0b3374bad26a915851c59ad709e","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85209951763"
"Semeler, A.R.; Farias Sales, L.; Pinto, A.L.; González-Valiente, C.L.","Semeler, Alexandre Ribas (57193005703); Farias Sales, Luana Farias (25646168600); Pinto, Adilson Luiz (36470775500); González-Valiente, Carlos Luis (56218376700)","57193005703; 25646168600; 36470775500; 56218376700","Geosciences Research Data Repositories Landscape: re3data.org as a datasource; Repositórios de dados de pesquisa no domínio das Geociências: re3data.org como fonte de dados; Panorama de los repositorios de datos de investigación en Geociencias: re3data.org como fuente de","2024","Revista Ibero-Americana de Ciencia da Informacao","17","3","","524","548","0","10.26512/rici.v17.n3.2024.53645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209894531&doi=10.26512%2Frici.v17.n3.2024.53645&partnerID=40&md5=e0b240cfb238fc22c8ee0594efbd1e0a","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85209894531"
"Haojin, J.","Haojin, Jiao (59416870400)","59416870400","Transforming Data Management: Blockchain Solutions for Information Resource Systems","2024","2024 IEEE 2nd International Conference on Sensors, Electronics and Computer Engineering, ICSECE 2024","","","","1026","1033","0","10.1109/ICSECE61636.2024.10729402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209661614&doi=10.1109%2FICSECE61636.2024.10729402&partnerID=40&md5=14c963b80d2bbccd8812fdbd397b4009","Conference paper","Final","","Scopus","2-s2.0-85209661614"
"Deshpande, K.V.; Nagare, S.; Patil, T.; Dhanke, A.; Sarode, R.","Deshpande, K. V. (58192508800); Nagare, Shubham (58512563500); Patil, Tejas R. (57226754759); Dhanke, Abhishek (58512083000); Sarode, Rushikesh (58513295400)","58192508800; 58512563500; 57226754759; 58512083000; 58513295400","MedBlock: Revolutionizing Healthcare Data Management through Blockchain and IPFS","2024","15th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2024","2","","","3339","3347","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209064205&partnerID=40&md5=c6af3d7dd0654518ec0f8aee2ab5c6c0","Conference paper","Final","","Scopus","2-s2.0-85209064205"
"Feng, C.; von der Assen, J.; Huertas Celdran, A.H.; Mogicato, R.; Zermin, A.; Ok, V.; Bovet, G.; Stiller, B.","Feng, Chao (57224898081); von der Assen, Jan (57226838017); Huertas Celdran, Alberto (56011153200); Mogicato, Raffael (58486301100); Zermin, Adrian (58485262500); Ok, Vichhay (59409408800); Bovet, Gér̂ome (55804611600); Stiller, Burkhard (7004689641)","57224898081; 57226838017; 56011153200; 58486301100; 58485262500; 59409408800; 55804611600; 7004689641","SecBox: A Lightweight Data Mining Platform for Dynamic and Reproducible Malware Analysis","2024","Proceedings - Swiss Conference on Data Science, SDS","","2024","","62","67","0","10.1109/SDS60720.2024.00017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208959517&doi=10.1109%2FSDS60720.2024.00017&partnerID=40&md5=2897d23355fb0b543d4eaa4f0a44b79a","Conference paper","Final","","Scopus","2-s2.0-85208959517"
"Chunpeng, L.; Ge, Z.; Ning, L.; Yang, Z.; Lujun, X.; Meng, W.","Chunpeng, Li (59406875800); Ge, Zhang (59407165800); Ning, Liu (59406974800); Yang, Zhang (59406974900); Lujun, Xu (59407554200); Meng, Wang (59407554300)","59406875800; 59407165800; 59406974800; 59406974900; 59407554200; 59407554300","DESIGN OF DUAL-FUSELAGE FLIGHT PLATFORM FOR JET CONTROL FUNCTION VERIFICATION","2024","ICAS Proceedings","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208812994&partnerID=40&md5=15d949cf1fafe962536d67336d2b0050","Conference paper","Final","","Scopus","2-s2.0-85208812994"
"Chu, Z.; Tong, K.-F.; Wong, K.-K.; Chae, C.-B.; Chan, C.H.","Chu, Zhiyuan (57219257780); Tong, Kin Fai Kenneth (7102473419); Wong, Kai Kit (7404759940); Chae, Chan Byoung (17433290200); Chan, Chi H. (55511318500)","57219257780; 7102473419; 7404759940; 17433290200; 55511318500","On Propagation Characteristics of Reconfigurable Surface Wave Platform: Simulation and Experimental Verification","2024","IEEE Access","12","","","168744","168754","5","10.1109/ACCESS.2024.3491492","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208719639&doi=10.1109%2FACCESS.2024.3491492&partnerID=40&md5=01fb80feab116c602263de2c6cae650a","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85208719639"
"Chen, L.; Shangguan, J.","Chen, Lin (59404702700); Shangguan, Jun (59404805900)","59404702700; 59404805900","Data Security Storage and Verification Mechanism Based on Distributed Ledger Technology","2024","Applied Mathematics and Nonlinear Sciences","9","1","20243228","","","0","10.2478/amns-2024-3228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208666994&doi=10.2478%2Famns-2024-3228&partnerID=40&md5=0d81c9bc951662a28d73d270a8bae662","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85208666994"
"Jose, A.; Joby, A.; Pauly, A.; Wilson, Z.; Manishankar, S.","Jose, Angel (59404447200); Joby, Aparna (59403711700); Pauly, Ashly (59404342000); Wilson, Zilla (59404447300); Manishankar, S. (56623155300)","59404447200; 59403711700; 59404342000; 59404447300; 56623155300","Verification and Validation of Product Warranty Using Blockchain","2024","10th International Conference on Advanced Computing and Communication Systems, ICACCS 2024","","","","1617","1622","0","10.1109/ICACCS60874.2024.10717121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208604153&doi=10.1109%2FICACCS60874.2024.10717121&partnerID=40&md5=3fbbf931fb4df5305fa837965ea0a38d","Conference paper","Final","","Scopus","2-s2.0-85208604153"
"Zhen, Z.; Wang, X.; Yang, X.; Shu, J.; Hu, J.; Lin, H.; Yi, X.","Zhen, Zihang (58726227800); Wang, Xiaoding (35172131800); Yang, Xu (57198359473); Shu, Jiwu (7102477241); Hu, Jia (55441727700); Lin, Hui (55738538700); Yi, Xun (7202267297)","58726227800; 35172131800; 57198359473; 7102477241; 55441727700; 55738538700; 7202267297","SemantiChain: A Trust Retrieval Blockchain Based on Semantic Sharding","2024","IEEE Transactions on Information Forensics and Security","19","","","10339","10354","3","10.1109/TIFS.2024.3488501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208578263&doi=10.1109%2FTIFS.2024.3488501&partnerID=40&md5=0d8a021521068b62674fe9c45a540506","Article","Final","","Scopus","2-s2.0-85208578263"
"Soni, R.; Thukral, M.K.; Kanwar, N.","Soni, Raj Kumar (57222316644); Thukral, Manish Kumar (57211236638); Kanwar, Neeraj (56681974700)","57222316644; 57211236638; 56681974700","Decentralized Phasor Measurement Unit Data Management on the Ethereum Blockchain","2024","Proceedings of the 3rd IEEE International Conference on Power Electronics, Intelligent Control and Energy Systems, ICPEICES 2024","","","","508","513","0","10.1109/ICPEICES62430.2024.10719177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208497255&doi=10.1109%2FICPEICES62430.2024.10719177&partnerID=40&md5=63c3845204c1ceb4d095bee66271cf15","Conference paper","Final","","Scopus","2-s2.0-85208497255"
"Agarwal, S.; Vardhan, H.K.; Prasanth, N.; Joshva Devadas, T.; Jayakumar, J.; Sureshkumar, W.","Agarwal, Saumye (59396896800); Vardhan, Harsha Kothapalle (59021898300); Prasanth, Narayanan (26428317700); Joshva Devadas, T. (55353687300); Jayakumar, Naveenkumar (57191282068); Sureshkumar, Williams (57008311400)","59396896800; 59021898300; 26428317700; 55353687300; 57191282068; 57008311400","A Semantic and Robust Authentication Scheme for User-Based Access Control on Cloud Storage","2024","Lecture Notes in Networks and Systems","1136 LNNS","","","450","458","0","10.1007/978-3-031-70789-6_37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208260624&doi=10.1007%2F978-3-031-70789-6_37&partnerID=40&md5=0d77698f3dcc9b23dff7f77c314098ff","Conference paper","Final","","Scopus","2-s2.0-85208260624"
"Fenske, L.; Jelonek, L.; Goesmann, A.; Schwengers, O.","Fenske, Linda (57552454600); Jelonek, Lukas (55577099600); Goesmann, Alexander (6602252377); Schwengers, Oliver (57194974926)","57552454600; 55577099600; 6602252377; 57194974926","BakRep – a searchable large-scale web repository for bacterial genomes, characterizations and metadata","2024","Microbial Genomics","10","10","001305","","","3","10.1099/mgen.0.001305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208161288&doi=10.1099%2Fmgen.0.001305&partnerID=40&md5=04e0372a1652f5fa406330fea512a2cf","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85208161288"
"Zhao, Y.","Zhao, Yuting (57571580100)","57571580100","Audit Data Traceability and Verification System Based on Blockchain Technology and Deep Learning","2024","Proceedings - 2024 International Conference on Telecommunications and Power Electronics, TELEPE 2024","","","","77","82","3","10.1109/TELEPE64216.2024.00020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208121857&doi=10.1109%2FTELEPE64216.2024.00020&partnerID=40&md5=5edc6b20905a20b7fa38f370778e100c","Conference paper","Final","","Scopus","2-s2.0-85208121857"
"Solovyev, A.V.","Solovyev, Alexander V. (57210283168)","57210283168","Mathematical Model of Long-Term Storage Electronic Document Metadata","2024","Lecture Notes in Networks and Systems","1119 LNNS","","","32","43","0","10.1007/978-3-031-70300-3_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208056490&doi=10.1007%2F978-3-031-70300-3_2&partnerID=40&md5=01e443ea3c81fce1bafd04c0b1f705fe","Conference paper","Final","","Scopus","2-s2.0-85208056490"
"Perez, F.; León, M.; Salazar-Gonzalez, V.; Macias, A.","Perez, Fanny (59391673400); León, Marcelo (57195214722); Salazar-Gonzalez, Vladimir (59391338400); Macias, Andrea (59392017200)","59391673400; 57195214722; 59391338400; 59392017200","The Processes of Real Estate Expropriation and the Fair Price: Case of the Decentralized Autonomous Government of the Municipality of Ambato","2024","CEUR Workshop Proceedings","3795","","","127","137","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207930994&partnerID=40&md5=305337dbdc073b3057ccb68244d97557","Conference paper","Final","","Scopus","2-s2.0-85207930994"
"Wang, Y.; Xing, K.; Zheng, B.","Wang, Yetong (56198814400); Xing, Kongduo (57201906606); Zheng, Bing (57198144471)","56198814400; 57201906606; 57198144471","Digital Automatic Execution and Verification Mechanism of Property Rights Based on Blockchain and Smart Contracts","2024","Proceedings - 2024 3rd International Conference on Artificial Intelligence and Autonomous Robot Systems, AIARS 2024","","","","142","147","0","10.1109/AIARS63200.2024.00032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207912953&doi=10.1109%2FAIARS63200.2024.00032&partnerID=40&md5=e69a116c7dc0b8aa2b8e79156cfd0cd0","Conference paper","Final","","Scopus","2-s2.0-85207912953"
"Anto, T.R.; Gramaje, B.A.; Wisniewski, L.; Karatzas, S.","Anto, Tony Rosset (59390779600); Gramaje, Borja Albert (59390579900); Wisniewski, Lukasz (57193206346); Karatzas, Stylianos K. (57205199630)","59390779600; 59390579900; 57193206346; 57205199630","Data Management Platform for Indoor Air Quality Management","2024","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","","","","","","1","10.1109/ETFA61755.2024.10710780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207831240&doi=10.1109%2FETFA61755.2024.10710780&partnerID=40&md5=aeb0332ea30d681d257db65e1dd941a6","Conference paper","Final","","Scopus","2-s2.0-85207831240"
"Orrù, D.; Pinna, A.; Tonelli, R.","Orrù, Daniele (59390169500); Pinna, Andrea (37059426400); Tonelli, Roberto (7004058057)","59390169500; 37059426400; 7004058057","Low-Cost Tamper-Proof IoT Devices to Improve Data Origin Verification and Privacy in Blockchain-Based Energy Consumption Records","2024","CEUR Workshop Proceedings","3791","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207824439&partnerID=40&md5=e1925788e9c299cb6aa7dec31d5286a3","Conference paper","Final","","Scopus","2-s2.0-85207824439"
"Fu, C.; Wang, Z.; Han, J.","Fu, Chao (57313344600); Wang, Zengshi (58876274200); Han, Jun (55214671400)","57313344600; 58876274200; 55214671400","Chimera: A co-simulation framework combining with gem5 and FPGA platform for efficient verification","2024","Proceedings - 2024 34th International Conference on Field-Programmable Logic and Applications, FPL 2024","","","","133","139","1","10.1109/FPL64840.2024.00027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207823106&doi=10.1109%2FFPL64840.2024.00027&partnerID=40&md5=e3a3ba1d6cf59a1cbc23ebe01f6edfb0","Conference paper","Final","","Scopus","2-s2.0-85207823106"
